ID,Viewpoint,Location,Collar,Tie,Skirt,Uniform,Sleeve,NSFW,Mood,Subject,Gender,Time,Author,Remarks
,,,,,,,0,0,0,,0,0,,
,,,,,,,Short,Safe,Negative,,Feminine,Day,,
,,,,,,,1,1,1,,1,1,,
,,,,,,,Long,Ecchi,Neutral,,Masculine,Evening,,
,,,,,,,,2,2,,,2,,
,,,,,,,,NSFW,Positive,,,Night,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
20200503-3,"Front,Side",Streets,Navy Blue,Red,,White,1,0,1,1,0,0,サイトー,
20200503-4,Front,Streets,Navy Blue,Red,Navy Blue,White,1,0,1,1,0,1,サイトー,
20200503-6,Side,Streets,Black,Light Blue,Black,Black,1,0,0,1,0,1,サイトー,
20200504-1,Side,,Navy Blue,Red,Navy Blue,White,1,0,0,1,0,,サイトー,
20200504-2,"Front,Side",,Navy Blue,Light Blue,Navy Blue,White,0,0,1,1,0,2,サイトー,
20200504-3,Back,,Navy Blue,White,,White,1,0,0,1,0,2,サイトー,
20200504-4,Side,,Navy Blue,Red,,White,0,0,"1,2",1,0,"0,1",サイトー,
20200504-5,Front,Wilderness,Navy Blue,Light Blue,Navy Blue,White,0,0,1,1,0,2,サイトー,
20200505-1,Front,,Navy Blue,Yellow,,White,1,0,"0,1",1,0,2,サイトー,
20200505-2,Side,Wilderness,Navy Blue,Blue,Navy Blue,White,0,0,1,1,0,2,サイトー,
20200506-1,Front,Building,Navy Blue,Red,Navy Blue,White,0,0,1,1,0,2,サイトー,
20200506-2,"Front,Top",,Navy Blue,Red,,White,0,0,0,1,0,,サイトー,
20200506-3,Side,Library,Navy Blue,Green,Navy Blue,Ivory,1,0,1,1,0,"0,1",サイトー,
20200506-4,Side,School,Navy Blue,Red,Navy Blue,White,1,0,1,2,0,,サイトー,"Yuri,Kissing"
20200506-5,Side,,Navy Blue,Red,Navy Blue,"Gray,White",1,0,2,2,0,,サイトー,Yuri
20200506-6,"Front,Top",Sofa,Navy Blue,Red,Navy Blue,White,1,0,1,1,0,,サイトー,
20200507-1,"Back,Front","School,Hidden",Navy Blue,Green,Navy Blue,White,0,0,2,3,0,,betock,Yuri
20200507-2,Front,Building,"Black,Navy Blue",Red,,"Black,Navy Blue",1,0,1,1,0,0,OTHERS,
20200507-3,Front,,White,Grue,Grue,"Black,White",1,0,2,1,0,,たんたんめん,Fox
20200507-4,Front,,Black,Grue,Black,Gray,1,0,1,1,0,,たんたんめん,
20200507-5,Front,,Navy Blue,Light Blue,Navy Blue,Gray,1,0,2,1,0,,たんたんめん,
20200507-6,Front,,Black,Green,Black,Gray,1,0,2,1,0,,たんたんめん,
20200508-1,"Front,Side",Chair,Black,Light Blue,Gray,"Light Blue,White",1,0,2,1,0,,たんたんめん,
20200508-2,Front,,Black,Blue,Black,"Black,Light Blue",0,0,"1,2",1,0,,たんたんめん,
20200508-3,Front,,Light Blue,Yellow,,White,1,0,2,1,0,,たんたんめん,
20200508-4,Front,,Black,White,Black,Black,1,0,1,1,0,,たんたんめん,
20200508-5,Front,School,Black,Light Blue,Black,White,1,0,2,1,0,,たんたんめん,
20200508-6,"Front,Side",School,Navy Blue,Light Blue,Navy Blue,White,1,0,1,1,0,0,DangMyo,
20200508-7,"Front,Bottom",Streets,Black,Black,"Black,Navy Blue",White,0,0,1,1,0,1,DangMyo,
20200511-2,Front,Hidden,Navy Blue,Yellow,"Navy Blue,Yellow","White,Yellow",,0,1,1,0,0,ねむりねむ,
20200511-3,"Front,Top",Library,Navy Blue,"Yellow,Red",Navy Blue,White,0,0,"1,2",2,0,1,ねむりねむ,
20200511-4,"Front,Side,Top",Building,White,White,White,Black,0,0,0,1,0,1,ねむりねむ,
20200511-5,"Front,Side",,Black,White,Black,Brown,1,0,2,1,0,,ねむりねむ,
20200511-6,Front,Streets,Black,Ivory,"Navy Blue,Purple","Pink,Brown",1,0,"1,2",1,0,"1,2",ねむりねむ,
20200512-1,"Front,Side",,Navy Blue,Red,Navy Blue,White,0,0,2,1,0,,ふるとり,
20200512-4,Front,,Black,Red,Black,White,1,0,"0,1",1,0,,ひさまる,
20200513-4,Top,Bed,Navy Blue,Red,,White,0,0,1,1,0,,ふるとり,
20200513-5,Front,,Navy Blue,Grue,Navy Blue,White,0,0,2,1,0,,しき,
20200513-6,"Front,Side,Back",Streets,Navy Blue,Red,Navy Blue,Navy Blue,1,0,2,2,0,0,荻pote,
20200514-1,Top,Wilderness,Navy Blue,Red,Navy Blue,White,0,0,2,1,0,0,a,Suicide
20200514-4,Front,,White,Grue,Light Blue,White,0,0,2,1,0,,しき,
20200514-5,Front,Wilderness,Navy Blue,White,,Navy Blue,1,0,1,1,0,,しき,
20200514-6,Side,,Black,White,,Black,,0,0,1,0,,栗林,
20200516-1,Front,,Navy Blue,Red,,White,0,0,2,1,0,,おむたつ/omutatsu,
20200516-11,"Front,Side",,Navy Blue,Red,Navy Blue,White,0,0,1,1,0,,ALLENES,
20200516-12,"Front,Side,Top",Building,Navy Blue,Red,Navy Blue,White,1,0,0,1,0,,ALLENES,
20200516-3,Back,,Navy Blue,Red,Navy Blue,White,1,0,2,1,0,,ALLENES,
20200516-5,Front,Building,Navy Blue,Red,Navy Blue,White,0,0,2,2,0,2,ALLENES,
20200516-6,Side,Building,Navy Blue,Red,Navy Blue,White,0,0,1,1,0,0,ALLENES,
20200516-8,Front,,Navy Blue,Blue,Navy Blue,White,1,0,0,1,0,,ALLENES,
20200516-9,Side,Building,Black,White,,Black,1,0,2,1,0,0,ALLENES,
20200519-1,Front,Building,Black,Blue,Black,White,1,0,2,1,0,0,ぺんたごん,
20200520-1,"Side,Top",Bed,Navy Blue,Red,Navy Blue,White,1,0,1,1,0,,れいなま,Collar
