Train,Start,End,Top Speed,JNR,JR Central,JR West,JR Kyushu
,,,,0,0,0,0
,,,,No,No,No,No
,,,,1,1,1,1
,,,,Yes,Yes,Yes,Yes
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0,1964,2008,220,1,1,1,0
100,1985,2012,220,1,1,1,0
300,1992,2012,270,0,1,1,0
500,1997,,300,0,0,1,0
700,1999,,300,0,1,1,0
N700,2007,,300,0,1,1,1
N700A,2012,,300,0,1,1,0
N700S,2020,,365,0,1,1,1
